"Species","Fire.Included","Total.Sets","Effect","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi"
"ACCI","No",100,"+",NA,NA,NA,NA,NA
"ACCI","No",100,"-",1,1,1,0.71,NA
"ACCI","No",100,"0",NA,NA,NA,0.29,1
"ACGL","No",100,"+",NA,NA,0.02,NA,NA
"ACGL","No",100,"-",1,1,0.98,0.15,0.08
"ACGL","No",100,"0",NA,NA,NA,0.85,0.92
"AMAL","No",100,"+",NA,NA,0.78,NA,NA
"AMAL","No",100,"-",1,1,0.22,NA,NA
"AMAL","No",100,"0",NA,NA,NA,1,1
"ATFI","No",100,"+",NA,NA,1,NA,NA
"ATFI","No",100,"-",1,1,NA,NA,NA
"ATFI","No",100,"0",NA,NA,NA,1,1
"CAME","No",74,"+",1,NA,0.162162162162162,NA,NA
"CAME","No",74,"-",NA,1,0.837837837837838,0.0405405405405405,NA
"CAME","No",74,"0",NA,NA,NA,0.959459459459459,1
"CHUM","No",100,"+",NA,NA,NA,NA,NA
"CHUM","No",100,"-",1,1,1,0.95,0.75
"CHUM","No",100,"0",NA,NA,NA,0.05,0.25
"CLUN","No",100,"+",NA,NA,0.98,NA,NA
"CLUN","No",100,"-",1,1,0.02,0.36,NA
"CLUN","No",100,"0",NA,NA,NA,0.64,1
"COCA","No",100,"+",NA,NA,0.99,NA,NA
"COCA","No",100,"-",1,1,0.01,NA,NA
"COCA","No",100,"0",NA,NA,NA,1,1
"GAOV","No",99,"+",NA,NA,NA,0.0101010101010101,NA
"GAOV","No",99,"-",1,1,1,0.0404040404040404,0.0404040404040404
"GAOV","No",99,"0",NA,NA,NA,0.94949494949495,0.95959595959596
"GASH","No",100,"+",NA,NA,0.71,0.05,NA
"GASH","No",100,"-",1,1,0.29,NA,NA
"GASH","No",100,"0",NA,NA,NA,0.95,1
"GOOB","No",100,"+",NA,NA,0.97,NA,NA
"GOOB","No",100,"-",1,1,0.03,1,0.51
"GOOB","No",100,"0",NA,NA,NA,NA,0.49
"GYDR","No",100,"+",NA,NA,1,0.39,NA
"GYDR","No",100,"-",1,1,NA,NA,NA
"GYDR","No",100,"0",NA,NA,NA,0.61,1
"HIAL","No",99,"+",NA,NA,0.0404040404040404,NA,NA
"HIAL","No",99,"-",1,1,0.95959595959596,0.0808080808080808,NA
"HIAL","No",99,"0",NA,NA,NA,0.919191919191919,1
"HODI","No",100,"+",NA,NA,NA,NA,NA
"HODI","No",100,"-",1,1,1,1,NA
"HODI","No",100,"0",NA,NA,NA,NA,1
"LIBO","No",100,"+",NA,NA,1,NA,NA
"LIBO","No",100,"-",1,1,NA,1,0.01
"LIBO","No",100,"0",NA,NA,NA,NA,0.99
"MANE","No",100,"+",NA,NA,0.03,NA,NA
"MANE","No",100,"-",1,1,0.97,NA,NA
"MANE","No",100,"0",NA,NA,NA,1,1
"MEFE","No",100,"+",1,NA,NA,0.4,NA
"MEFE","No",100,"-",NA,0.97,1,0.4,0.62
"MEFE","No",100,"0",NA,0.03,NA,0.2,0.38
"OPHO","No",100,"+",NA,NA,NA,0.47,NA
"OPHO","No",100,"-",1,1,1,0.53,0.96
"OPHO","No",100,"0",NA,NA,NA,NA,0.04
"POMU","No",100,"+",NA,0.86,NA,0.66,NA
"POMU","No",100,"-",1,0.14,1,0.33,NA
"POMU","No",100,"0",NA,NA,NA,0.01,1
"PTAQ","No",100,"+",NA,NA,NA,0.98,0.1
"PTAQ","No",100,"-",1,1,1,0.02,NA
"PTAQ","No",100,"0",NA,NA,NA,NA,0.9
"RULA","No",99,"+",1,NA,0.0202020202020202,0.0505050505050505,0.0202020202020202
"RULA","No",99,"-",NA,1,0.97979797979798,0.262626262626263,NA
"RULA","No",99,"0",NA,NA,NA,0.686868686868687,0.97979797979798
"RUPA","No",100,"+",NA,NA,0.01,0.91,0.91
"RUPA","No",100,"-",1,1,0.99,0.09,NA
"RUPA","No",100,"0",NA,NA,NA,NA,0.09
"RUPE","No",100,"+",1,NA,0.5,NA,0.03
"RUPE","No",100,"-",NA,1,0.5,0.42,NA
"RUPE","No",100,"0",NA,NA,NA,0.58,0.97
"RUSP","No",100,"+",NA,NA,1,0.52,NA
"RUSP","No",100,"-",1,1,NA,NA,0.16
"RUSP","No",100,"0",NA,NA,NA,0.48,0.84
"SOSI","No",100,"+",1,NA,NA,1,NA
"SOSI","No",100,"-",NA,1,1,NA,0.29
"SOSI","No",100,"0",NA,NA,NA,NA,0.71
"SPBE","No",100,"+",NA,NA,1,0.18,NA
"SPBE","No",100,"-",1,1,NA,0.81,NA
"SPBE","No",100,"0",NA,NA,NA,0.01,1
"TITR","No",100,"+",NA,NA,0.99,NA,NA
"TITR","No",100,"-",1,1,0.01,NA,NA
"TITR","No",100,"0",NA,NA,NA,1,1
"TRBO","No",70,"+",NA,NA,0.671428571428571,NA,NA
"TRBO","No",70,"-",1,1,0.328571428571429,1,0.757142857142857
"TRBO","No",70,"0",NA,NA,NA,NA,0.242857142857143
"VASI","No",100,"+",1,NA,0.82,NA,NA
"VASI","No",100,"-",NA,1,0.18,NA,NA
"VASI","No",100,"0",NA,NA,NA,1,1
