"Species","Fire.Included","Total.Sets","Effect","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACMI","Yes",100,"+",0.01,0.02,1,0.36,0.97,0.99,0.19,NA
"ACMI","Yes",100,"-",0.99,0.9,NA,0.64,0.02,NA,NA,0.19
"ACMI","Yes",100,"0",NA,0.08,NA,NA,0.01,0.01,0.81,0.81
"ARUV","Yes",100,"+",NA,NA,1,NA,1,1,NA,NA
"ARUV","Yes",100,"-",1,1,NA,1,NA,NA,NA,NA
"ARUV","Yes",100,"0",NA,NA,NA,NA,NA,NA,1,1
"CARU","Yes",100,"+",NA,NA,1,NA,0.48,0.46,0.17,NA
"CARU","Yes",100,"-",1,1,NA,1,NA,0.02,0.04,0.21
"CARU","Yes",100,"0",NA,NA,NA,NA,0.52,0.52,0.79,0.79
"CEVE","Yes",100,"+",NA,NA,1,NA,0.65,0.65,NA,NA
"CEVE","Yes",100,"-",1,1,NA,1,NA,NA,0.04,0.04
"CEVE","Yes",100,"0",NA,NA,NA,NA,0.35,0.35,0.96,0.96
"EPAN","Yes",100,"+",0.03,NA,1,0.23,NA,0.45,0.07,0.24
"EPAN","Yes",100,"-",0.97,1,NA,0.77,0.52,0.07,0.17,NA
"EPAN","Yes",100,"0",NA,NA,NA,NA,0.48,0.48,0.76,0.76
"PAMY","Yes",100,"+",NA,NA,1,NA,NA,NA,NA,NA
"PAMY","Yes",100,"-",1,1,NA,1,NA,NA,NA,NA
"PAMY","Yes",100,"0",NA,NA,NA,NA,1,1,1,1
"VAME","Yes",100,"+",1,NA,NA,1,1,NA,NA,NA
"VAME","Yes",100,"-",NA,1,1,NA,NA,1,NA,NA
"VAME","Yes",100,"0",NA,NA,NA,NA,NA,NA,1,1
