"","species","mean.high","sd.high","mean.low","sd.low","Species","fire"
"1","V1",-64.8585000000002,8.88211389378803,-16.729,0.246355249773399,"ACCI","no"
"2","V2",-296.3095,46.3734954805092,88.172,6.14188435533782,"ACGL","no"
"3","V3",20.6702499999999,26.5553107490248,-52.9315,6.56643364068927,"AMAL","no"
"4","V4",-101.85075,21.7828917830443,-0.423999999999997,12.8004759026113,"ATFI","no"
"5","V5",-16.0797499999998,24.3464793503096,5.12375000000011,42.7477959404359,"CAME","no"
"6","V6",-372.164,57.3109279820316,-111.33075,21.3185071749687,"CHUM","no"
"7","V7",-89.59375,4.85505356704631,-86.7115,55.1726332738772,"CLUN","no"
"8","V8",25.0579999999999,13.7698327491438,179.215,28.640228515044,"COCA","no"
"9","V9",75.3007500000001,49.8182421731206,202.69325,11.1432957915728,"COST","no"
"10","V10",-22.1885,51.4498994339899,103.1285,110.032799920448,"GAOV","no"
"11","V11",99.7874999999999,16.6349916811618,97.7745,20.1643243004805,"GASH","no"
"12","V12",-127.2285,92.532951339433,-26.47775,48.0189047492829,"GOOB","no"
"13","V13",181.214499999999,40.714727124199,25.594,11.082334837684,"GYDR","no"
"14","V14",-32.7162499999999,97.7004513765382,16.04025,59.7536323327467,"HIAL","no"
"15","V15",-406.537000000001,30.6748392601553,-34.7965,27.5119735228357,"HODI","no"
"16","V16",-38.4567499999999,25.8655387853035,-49.9505,1.48389919407682,"LIBO","no"
"17","V17",-24.3427500000002,21.9019798396507,48.6220000000001,12.7162274438624,"LUPE","no"
"18","V18",-14.4202500000001,4.76570197776877,-52.335,14.5277833787192,"MANE","no"
"19","V19",-330.32425,6.05272129193793,37.86775,161.437934460949,"MEFE","no"
"20","V20",-27.0680000000002,5.47191645559121,207.387,117.975068655383,"OPHO","no"
"21","V21",-6.29100000000001,13.5653154900074,34.6405,17.3528480546007,"PHEM","no"
"22","V22",-129.108,122.203614130539,77.34575,45.1266644751641,"POMU","no"
"23","V23",96.3675000000001,40.5814602734955,49.735,33.7742812019304,"PTAQ","no"
"24","V24",22.8607499999999,1.3432926106693,126.2675,4.66442789913861,"RHAL","no"
"25","V25",93.21725,29.9349882057144,90.10175,80.6886081209264,"RULA","no"
"26","V26",11.5047499999995,60.967515640058,-283.15975,12.5134341420642,"RUPA","no"
"27","V27",-184.05875,36.719342736458,-149.774,3.66020422237543,"RUPE","no"
"28","V28",78.8584999999998,18.2808505745021,-57.456,3.42015180713348,"RUSP","no"
"29","V29",-10.6574999999999,6.17008658240252,283.35675,117.054541798877,"SOSI","no"
"30","V30",43.63775,1.70514112319187,-42.62375,4.12333127403736,"SPBE","no"
"31","V31",46.5850000000003,26.5082586711722,25.55875,2.32088773669983,"TITR","no"
"32","V32",-150.425,51.1187988015083,-41.40525,15.2834986834682,"TRBO","no"
"33","V33",-85.64,7.79257367918036,-151.299,7.16841673487588,"VAAL","no"
"34","V34",37.07125,14.3464898986343,-72.7635,3.46979648196587,"VADE","no"
"35","V35",-78.2527500000002,15.1135988396663,-235.7365,37.5347931890862,"VASI","no"
"36","V1",635.767,13.9776250132167,15.11525,44.6646399493554,"ACMI","yes"
"37","V2",259.9385,23.8301357835966,88.751,4.0492204013348,"ARUV","yes"
"38","V3",-6.79750000000069,46.6166125637545,76.704,5.04140898414863,"CARU","yes"
"39","V4",29.9749999999998,7.79289206050415,-10.7315,10.3615466626573,"CEVE","yes"
"40","V5",155.6685,121.438453132615,-218.4845,70.5511616584988,"EPAN","yes"
"41","V6",-45.8885000000003,45.2986964408737,-60.5035,16.3069158734271,"PAMY","yes"
"42","V7",152.82925,9.94057282394648,-74.54325,7.0649519565946,"VAME","yes"
